iter	Accuracy	Logloss
86	0.9699197105	0.08184171248
87	0.9698066267	0.08139693317
88	0.9699197105	0.08101311919
89	0.9700327943	0.08059364983
90	0.9700327943	0.08005383965
91	0.9704851295	0.07941399315
92	0.9703720457	0.07893266381
93	0.9702589619	0.07851982548
94	0.9708243809	0.07793087811
95	0.9708243809	0.07745740871
96	0.9709374647	0.07704277629
97	0.9710505485	0.07662287047
98	0.971276716	0.07621548262
99	0.9717290512	0.07585650697
100	0.9721813864	0.07524844346
101	0.9722944702	0.07470700657
102	0.9720683026	0.07443063191
103	0.9720683026	0.07417267131
104	0.972407554	0.07395502437
105	0.9725206378	0.07351418838
106	0.9727468054	0.07315691124
107	0.9726337216	0.07289801888
108	0.9731991406	0.07232975066
109	0.9733122244	0.07211727462
110	0.9738776433	0.0717519601
111	0.9741038109	0.07129829455
112	0.9738776433	0.07099314573
113	0.9738776433	0.07077864907
114	0.9742168947	0.07038350828
115	0.9743299785	0.07007563861
116	0.9745561461	0.06946081624
117	0.9745561461	0.06913167614
118	0.9748953975	0.06892425272
119	0.9750084813	0.06871117448
120	0.9751215651	0.06837694935
121	0.9753477327	0.06789154011
122	0.9754608165	0.06759831145
123	0.9759131516	0.06712568086
124	0.976252403	0.06684789824
125	0.9764785706	0.06668195553
126	0.976817822	0.06620794968
127	0.9767047382	0.06594834325
128	0.976817822	0.06570854307
129	0.9769309058	0.06546639402
130	0.9771570734	0.06525485399
131	0.9776094086	0.06488905865
132	0.9774963248	0.06469710579
133	0.9778355762	0.06427448453
134	0.9774963248	0.06394242787
135	0.977383241	0.06368415282
136	0.9774963248	0.06347833283
137	0.9781748275	0.06322046649
138	0.9786271627	0.06288616234
139	0.9787402465	0.06264925485
140	0.9791925817	0.06240875016
141	0.9795318331	0.06217579395
142	0.9788533303	0.06181985559
143	0.9791925817	0.06168876837
144	0.9793056655	0.06154930725
145	0.9794187493	0.06128696745
146	0.9791925817	0.06109582942
147	0.9795318331	0.06084943695
148	0.9795318331	0.06070011324
149	0.9797580007	0.06044410278
150	0.9797580007	0.06033243429
151	0.9800972521	0.06004159615
152	0.9802103359	0.05980125662
153	0.9802103359	0.05948833268
154	0.9800972521	0.05930381354
155	0.9798710845	0.0589209531
156	0.9798710845	0.05871642682
157	0.9805495872	0.05848183946
158	0.980662671	0.05831135022
159	0.9805495872	0.05819214149
160	0.980662671	0.05787706439
161	0.9808888386	0.05769450257
162	0.9811150062	0.05758446273
163	0.9814542576	0.05744727673
164	0.9811150062	0.05724146791
165	0.9815673414	0.0569924942
166	0.9814542576	0.0564968721
167	0.9815673414	0.0562214518
168	0.981793509	0.05597251679
169	0.9814542576	0.05578249117
170	0.9815673414	0.05566660066
171	0.9815673414	0.05554518102
172	0.9815673414	0.05539923938
173	0.9819065928	0.05513202162
174	0.9820196766	0.0550479937
175	0.982358928	0.05486433701
176	0.982358928	0.05472058117
177	0.982358928	0.05458544212
178	0.9828112631	0.0543543479
179	0.9825850956	0.05421379801
180	0.9829243469	0.05411979038
181	0.9829243469	0.05392343375
182	0.9829243469	0.05377997365
183	0.9829243469	0.05358292401
184	0.9829243469	0.05350508011
185	0.9832635983	0.05324580667
186	0.9832635983	0.05316129722
187	0.9836028497	0.05295084573
188	0.9836028497	0.05273744282
189	0.9836028497	0.05257730563
190	0.9836028497	0.05238110869
191	0.9836028497	0.05227595187
192	0.9837159335	0.05199710863
193	0.9836028497	0.05181383624
194	0.9834897659	0.05170490553
195	0.9837159335	0.0514041987
196	0.9836028497	0.05124095492
197	0.9837159335	0.05105711455
198	0.9838290173	0.05090630236
199	0.9839421011	0.05079100412
200	0.9839421011	0.05067741457
201	0.9838290173	0.05045382727
202	0.9838290173	0.05038825578
203	0.9837159335	0.05027386506
204	0.9838290173	0.05014599975
205	0.9838290173	0.0500741994
206	0.9839421011	0.04993797429
207	0.9839421011	0.04977296196
208	0.9839421011	0.04955404502
209	0.9841682687	0.04948456252
210	0.9839421011	0.04935121041
211	0.9839421011	0.04930640527
212	0.9839421011	0.0491614525
213	0.9840551849	0.04904321527
214	0.9840551849	0.04894337024
215	0.9841682687	0.04855359164
